[16:54:39] Frame: 4 | Ball OCR: [77, 3, 6, 24] | Powerup Ready: True | Method: Local
[16:54:41] Frame: 5 | Ball OCR: [13, 37, 40, 3, 6, 24] | Powerup Ready: True | Method: Local
[16:54:43] Frame: 6 | Ball OCR: [13, 37, 40, 3, 6, 24] | Powerup Ready: True | Method: Local
[16:54:45] Frame: 7 | Ball OCR: [9, 73, 47, 6, 2] | Powerup Ready: True | Method: Local
[16:54:48] Frame: 8 | Ball OCR: [6, 3, 7] | Powerup Ready: True | Method: Local
[16:54:50] Frame: 9 | Ball OCR: [6, 3, 7] | Powerup Ready: True | Method: Local
[16:54:53] Frame: 10 | Ball OCR: [7, 3, 47] | Powerup Ready: True | Method: Local
[16:54:54] Frame: 11 | Ball OCR: [7, 3, 47] | Powerup Ready: True | Method: Local
[16:54:56] Frame: 12 | Ball OCR: [40] | Powerup Ready: True | Method: Local
[16:55:13] Frame: 13 | Ball OCR: [4, 42, 29, 1, 18] | Powerup Ready: True | Method: Local
[16:55:16] Frame: 14 | Ball OCR: [42, 6] | Powerup Ready: True | Method: Local
[16:55:18] Frame: 15 | Ball OCR: [42, 6] | Powerup Ready: True | Method: Local
[16:55:20] Frame: 16 | Ball OCR: [42, 6] | Powerup Ready: True | Method: Local
[16:55:22] Frame: 17 | Ball OCR: [4, 48, 42] | Powerup Ready: True | Method: Local
[16:55:24] Frame: 18 | Ball OCR: [4, 48, 42] | Powerup Ready: True | Method: Local
[16:55:27] Frame: 19 | Ball OCR: [6] | Powerup Ready: True | Method: Local
[16:55:28] Frame: 20 | Ball OCR: [6] | Powerup Ready: True | Method: Local
[16:55:30] Frame: 21 | Ball OCR: [5, 70, 7] | Powerup Ready: True | Method: Local
[16:55:32] Frame: 22 | Ball OCR: [3, 6, 48, 1] | Powerup Ready: True | Method: Local
[16:55:34] Frame: 23 | Ball OCR: [3, 6, 48, 1] | Powerup Ready: True | Method: Local
[16:55:37] Frame: 24 | Ball OCR: [1, 43] | Powerup Ready: True | Method: Local
[16:55:38] Frame: 25 | Ball OCR: [1, 43] | Powerup Ready: True | Method: Local
[16:55:40] Frame: 26 | Ball OCR: [52, 43] | Powerup Ready: True | Method: Local
[16:55:42] Frame: 27 | Ball OCR: [7, 43, 10] | Powerup Ready: True | Method: Local
[16:55:44] Frame: 28 | Ball OCR: [7, 43, 10] | Powerup Ready: True | Method: Local
[16:55:47] Frame: 29 | Ball OCR: [43] | Powerup Ready: True | Method: Local
[16:55:49] Frame: 30 | Ball OCR: [43] | Powerup Ready: True | Method: Local
[16:55:50] Frame: 31 | Ball OCR: [5, 4] | Powerup Ready: True | Method: Local
[16:56:02] Frame: 32 | Ball OCR: [77, 5, 38, 35] | Powerup Ready: True | Method: Local
[16:56:04] Frame: 33 | Ball OCR: [77, 5, 38, 35] | Powerup Ready: True | Method: Local
